function,version,bleu4,exact_match,codebert_sim
openTrading()_v102_v0.8.0___0,0.8.0,0.8492,0,0.9983
getPair()_v0.8.19___1,0.8.19,0.0,0,0.9672
"set(uint256,uint256,uint256)_v0.8.11___2",0.8.11,0.0,0,0.9579
"excludeFromFees(address,bool)_v0.8.4___3",0.8.4,0.1645,0,0.9883
owner()_v362_v0.8.0___4,0.8.0,0.3502,0,0.9946
"rescueToken(address,address,uint256)_v0.8.7___5",0.8.7,0.0,0,0.9967
tokenFromReflection(uint256)_v0.8.13___6,0.8.13,0.0,0,0.9256
getCustomSource(bytes32)_v0.8.4___7,0.8.4,0.0,0,0.9839
"updateSellFees(uint256,uint256,uint256)_v11_v0.8.10___8",0.8.10,0.8624,0,1.0
updateSellFees(uint256)_v0.8.16___9,0.8.16,0.193,0,0.9946
setUpgradeMaximum(uint256)_v0.8.0___10,0.8.0,0.0,0,0.9701
buyFee()_v0.8.18___11,0.8.18,0.3247,0,0.9969
setFeeToken(address)_v0.8.13___12,0.8.13,0.0,0,0.9836
changeOwnerForce(address)_v0.8.0___13,0.8.0,0.0,0,0.9811
balance()_v3_v0.8.4___14,0.8.4,1.0,1,1.0
getClaimableAmount(address)_v0.8.0___15,0.8.0,0.3395,0,0.9883
mint(uint256)_v11_v0.8.4___16,0.8.4,0.0,0,0.9561
setWETH(address)_v2_v0.8.15___17,0.8.15,0.4671,0,0.9958
withdraw(uint256)_v7_v0.8.4___18,0.8.4,0.0,0,0.9786
"executeMetaTransaction(address,bytes,bytes32,bytes32,uint8)_v0.8.0___19",0.8.0,0.0,0,0.9457
setMarketingFee(uint256)_v2_v0.8.4___20,0.8.4,0.0,0,0.9882
removeBlackList(address)_v2_v0.8.0___21,0.8.0,0.0,0,0.9891
"initialize(address,address,address,address)_v0.8.7___22",0.8.7,0.0,0,0.991
manualsend()_v398_v0.8.16___23,0.8.16,0.7612,0,0.9998
"addHours(uint256,uint256)_v0.8.0___24",0.8.0,0.0,0,0.9776
setFee(uint256)_v0.8.15___25,0.8.15,0.0,0,0.9943
"mint(address,uint256)_v5_v0.8.7___26",0.8.7,0.0,0,0.9579
"premint(address,uint256)_v0.8.17___27",0.8.17,0.0,0,0.994
setTokenPrice(uint256)_v2_v0.8.4___28,0.8.4,0.0,0,0.9908
transferOwnership(address)_v4182_v0.8.9___29,0.8.9,0.0,0,0.9912
"mint(address,uint256)_v183_v0.8.0___30",0.8.0,0.0,0,0.9626
"changeFees(uint256,uint256,uint256,uint256,uint256)_v0.8.0___31",0.8.0,0.1375,0,0.996
increaseCap(uint256)_v0.8.7___32,0.8.7,0.0,0,0.9629
removeMinter(address)_v0.8.13___33,0.8.13,0.0,0,0.9923
blacklisted(address)_v0.8.0___34,0.8.0,0.5348,0,0.999
"updateSellFees(uint256,uint256,uint256)_v31_v0.8.17___35",0.8.17,0.7607,0,0.9881
"updateSellFees(uint256,uint256,uint256,uint256,uint256,uint256)_v116_v0.8.9___36",0.8.9,0.8462,0,0.999
"getTokenPrice(address,uint256)_v0.8.6___37",0.8.6,0.0,0,0.9064
setBuyFee(uint256)_v0.8.4___38,0.8.4,0.4718,0,0.999
"burn(address,uint256)_v13_v0.8.0___39",0.8.0,0.0,0,0.9947
withdraw()_v5_v0.8.0___40,0.8.0,0.0,0,0.9883
setPause(bool)_v3_v0.8.0___41,0.8.0,0.0,0,0.9926
excludeFromFee(address)_v2_v0.8.19___42,0.8.19,0.0,0,0.9877
setMaxTxPercent(uint256)_v0.8.6___43,0.8.6,0.1347,0,0.9928
"reimburse(address,uint256)_v0.8.0___44",0.8.0,0.0,0,0.9885
"sortTokens(address,address)_v0.8.11___45",0.8.11,0.0905,0,0.985
setWalletLimit(uint256)_v5_v0.8.11___46,0.8.11,0.0,0,0.9927
depositAllVariable(address)_v0.8.4___47,0.8.4,0.0,0,0.9928
"isOverLiquified(uint256,uint256)_v21_v0.8.7___48",0.8.7,0.0,0,0.9363
"getTransactionIds(uint256,uint256,bool,bool)_v0.8.10___49",0.8.10,0.0,0,0.9945
setMaxTxPercent(uint256)_v319_v0.8.4___50,0.8.4,0.2249,0,0.9916
"onERC1155Received(address,address,uint256,uint256,bytes)_v10_v0.8.0___51",0.8.0,0.0,0,0.9744
enableTrading(uint256)_v2_v0.8.19___52,0.8.19,0.0,0,0.9859
openTrading()_v682_v0.8.0___53,0.8.0,0.7094,0,0.9961
manualSwap()_v1188_v0.8.17___54,0.8.17,0.0619,0,0.9689
EnableTrading()_v2_v0.8.9___55,0.8.9,0.5969,0,0.9998
vender(uint256)_v0.8.0___56,0.8.0,0.0,0,0.9715
"setFee(uint256,uint256,uint256,uint256)_v32_v0.8.12___57",0.8.12,0.3054,0,0.9833
withdrawPrize()_v0.8.0___58,0.8.0,0.0,0,0.9915
"setFeeReceivers(address,address,address,address,address)_v5_v0.8.7___59",0.8.7,0.519,0,0.9988
startTrading()_v0.8.6___60,0.8.6,0.0,0,0.9801
widthdraw(address)_v0.8.6___61,0.8.6,0.0,0,0.9741
"updateSellFees(uint256,uint256,uint256,uint256)_v6_v0.8.10___62",0.8.10,0.3337,0,0.9828
"setPresaleRouterAndAddress(address,address)_v0.8.4___63",0.8.4,0.0,0,0.9938
"burn(address,uint256,uint256)_v3_v0.8.4___64",0.8.4,0.0,0,0.9804
setMarketingAddress(address)_v4_v0.8.0___65,0.8.0,0.0,0,0.9853
"decreaseAllowance(address,uint256)_v239_v0.8.10___66",0.8.10,0.1667,0,0.9927
claimStuckTokens(address)_v2_v0.8.9___67,0.8.9,0.0,0,0.9892
admin()_v3_v0.8.0___68,0.8.0,0.0,0,0.9567
getCirculatingSupply()_v5_v0.8.0___69,0.8.0,0.6316,0,0.9932
getbGay(uint256)_v0.8.0___70,0.8.0,0.0,0,0.9951
setBotAddress(address)_v0.8.4___71,0.8.4,0.0,0,0.9906
ClaimAirdrop()_v0.8.16___72,0.8.16,0.136,0,0.9004
isSniper(address)_v42_v0.8.4___73,0.8.4,0.0,0,0.9106
initialize(address[])_v0.8.6___74,0.8.6,0.0,0,0.9873
check(address)_v3_v0.8.7___75,0.8.7,0.0,0,0.9911
burn()_v2_v0.8.0___76,0.8.0,0.0,0,0.9776
remove(string)_v0.8.6___77,0.8.6,0.0,0,0.9592
"setExcludedFromFees(address,bool)_v0.8.10___78",0.8.10,0.4367,0,0.9987
availableForRelease()_v0.8.4___79,0.8.4,0.3928,0,0.9555
setMinDeposit(uint256)_v2_v0.8.0___80,0.8.0,0.1117,0,0.9878
getAttributeMouthAccessoryFrom(uint256)_v0.8.0___81,0.8.0,0.0665,0,0.989
mint(uint256)_v13_v0.8.4___82,0.8.4,0.2382,0,0.9971
"initialize(uint256,uint256)_v0.8.4___83",0.8.4,0.0,0,0.9808
"increaseAllowance(address,uint256)_v144_v0.8.19___84",0.8.19,0.0,0,0.9818
"initialize(uint256,uint256,uint256)_v2_v0.8.0___85",0.8.0,0.0,0,0.9596
"withdrawAsset(address,address,uint256)_v3_v0.8.0___86",0.8.0,0.0,0,0.9834
manualSend()_v12_v0.8.7___87,0.8.7,0.4103,0,0.9933
setMarketingWallet(address)_v9_v0.8.9___88,0.8.9,0.0,0,0.9889
setTeamFee(uint256)_v55_v0.8.10___89,0.8.10,0.0,0,0.9892
openTrading()_v606_v0.8.0___90,0.8.0,0.8492,0,0.9976
getMyEggs()_v2_v0.8.9___91,0.8.9,0.0,0,0.9228
"setParameters(uint256,uint256)_v4_v0.8.16___92",0.8.16,0.1296,0,0.9948
buyBackTokens(uint256)_v0.8.7___93,0.8.7,0.0,0,0.9837
"claim(address,uint256)_v0.8.17___94",0.8.17,0.0,0,0.9841
removeLimits()_v30_v0.8.12___95,0.8.12,0.1361,0,0.9887
setSwapAmount(uint256)_v11_v0.8.4___96,0.8.4,0.0,0,0.9932
changeOwner(address)_v0.8.1___97,0.8.1,0.289,0,0.9814
