function,version,bleu4,exact_match,normalized_match
openTrading()_v102_v0.8.0___0,0.8.0,0.8492,0,1
getPair()_v0.8.19___1,0.8.19,0.0,0,0
"set(uint256,uint256,uint256)_v0.8.11___2",0.8.11,0.0,0,0
"excludeFromFees(address,bool)_v0.8.4___3",0.8.4,0.1645,0,0
owner()_v362_v0.8.0___4,0.8.0,0.3502,0,0
"rescueToken(address,address,uint256)_v0.8.7___5",0.8.7,0.0,0,1
tokenFromReflection(uint256)_v0.8.13___6,0.8.13,0.0,0,0
getCustomSource(bytes32)_v0.8.4___7,0.8.4,0.0,0,0
"updateSellFees(uint256,uint256,uint256)_v11_v0.8.10___8",0.8.10,0.8624,0,0
updateSellFees(uint256)_v0.8.16___9,0.8.16,0.193,0,0
setUpgradeMaximum(uint256)_v0.8.0___10,0.8.0,0.0,0,0
buyFee()_v0.8.18___11,0.8.18,0.3247,0,0
setFeeToken(address)_v0.8.13___12,0.8.13,0.0,0,0
changeOwnerForce(address)_v0.8.0___13,0.8.0,0.0,0,0
balance()_v3_v0.8.4___14,0.8.4,1.0,1,1
getClaimableAmount(address)_v0.8.0___15,0.8.0,0.3395,0,0
mint(uint256)_v11_v0.8.4___16,0.8.4,0.0,0,0
setWETH(address)_v2_v0.8.15___17,0.8.15,0.4671,0,0
withdraw(uint256)_v7_v0.8.4___18,0.8.4,0.0,0,0
"executeMetaTransaction(address,bytes,bytes32,bytes32,uint8)_v0.8.0___19",0.8.0,0.0,0,0
setMarketingFee(uint256)_v2_v0.8.4___20,0.8.4,0.0,0,0
removeBlackList(address)_v2_v0.8.0___21,0.8.0,0.0,0,0
"initialize(address,address,address,address)_v0.8.7___22",0.8.7,0.0,0,0
manualsend()_v398_v0.8.16___23,0.8.16,0.7612,0,1
"addHours(uint256,uint256)_v0.8.0___24",0.8.0,0.0,0,0
setFee(uint256)_v0.8.15___25,0.8.15,0.0,0,0
"mint(address,uint256)_v5_v0.8.7___26",0.8.7,0.0,0,0
"premint(address,uint256)_v0.8.17___27",0.8.17,0.0,0,1
setTokenPrice(uint256)_v2_v0.8.4___28,0.8.4,0.0,0,0
transferOwnership(address)_v4182_v0.8.9___29,0.8.9,0.0,0,0
"mint(address,uint256)_v183_v0.8.0___30",0.8.0,0.0,0,0
"changeFees(uint256,uint256,uint256,uint256,uint256)_v0.8.0___31",0.8.0,0.1375,0,0
increaseCap(uint256)_v0.8.7___32,0.8.7,0.0,0,0
removeMinter(address)_v0.8.13___33,0.8.13,0.0,0,0
blacklisted(address)_v0.8.0___34,0.8.0,0.5348,0,1
