START
Wed Jun 24 16:19:20 +04 2026
cn270
resume: 0 stems already harvested
remaining: 109679
  [300/109679] 3.7/s ETA 8.3h
  [600/109679] 4.5/s ETA 6.7h
  [900/109679] 5.0/s ETA 6.1h
  [1200/109679] 5.1/s ETA 5.9h
  [1500/109679] 5.3/s ETA 5.7h
  [1800/109679] 5.4/s ETA 5.6h
  [2100/109679] 5.5/s ETA 5.5h
  [2400/109679] 5.0/s ETA 6.0h
  [2700/109679] 5.0/s ETA 5.9h
  [3000/109679] 5.1/s ETA 5.8h
  [3300/109679] 5.1/s ETA 5.8h
  [3600/109679] 5.2/s ETA 5.7h
  [3900/109679] 5.2/s ETA 5.6h
  [4200/109679] 5.2/s ETA 5.6h
  [4500/109679] 5.2/s ETA 5.6h
  [4800/109679] 5.3/s ETA 5.5h
  [5100/109679] 5.2/s ETA 5.6h
  [5400/109679] 5.2/s ETA 5.6h
  [5700/109679] 5.2/s ETA 5.5h
  [6000/109679] 5.2/s ETA 5.5h
  [6300/109679] 4.9/s ETA 5.8h
  [6600/109679] 5.0/s ETA 5.8h
  [6900/109679] 5.0/s ETA 5.7h
  [7200/109679] 5.0/s ETA 5.7h
  [7500/109679] 5.1/s ETA 5.6h
  [7800/109679] 5.1/s ETA 5.6h
  [8100/109679] 5.1/s ETA 5.5h
  [8400/109679] 5.1/s ETA 5.5h
  [8700/109679] 5.1/s ETA 5.5h
  [9000/109679] 5.1/s ETA 5.4h
  [9300/109679] 5.2/s ETA 5.4h
  [9600/109679] 5.2/s ETA 5.4h
  [9900/109679] 5.2/s ETA 5.3h
  [10200/109679] 5.2/s ETA 5.3h
  [10500/109679] 5.2/s ETA 5.3h
  [10800/109679] 5.2/s ETA 5.3h
  [11100/109679] 5.2/s ETA 5.2h
  [11400/109679] 5.2/s ETA 5.2h
  [11700/109679] 5.2/s ETA 5.2h
  [12000/109679] 5.2/s ETA 5.2h
  [12300/109679] 5.3/s ETA 5.1h
  [12600/109679] 5.3/s ETA 5.1h
  [12900/109679] 5.3/s ETA 5.1h
  [13200/109679] 5.3/s ETA 5.1h
  [13500/109679] 5.3/s ETA 5.0h
  [13800/109679] 5.3/s ETA 5.0h
  [14100/109679] 5.3/s ETA 5.0h
  [14400/109679] 5.3/s ETA 5.0h
  [14700/109679] 5.3/s ETA 5.0h
  [15000/109679] 5.2/s ETA 5.1h
  [15300/109679] 5.2/s ETA 5.0h
  [15600/109679] 5.2/s ETA 5.0h
  [15900/109679] 5.2/s ETA 5.0h
  [16200/109679] 5.2/s ETA 5.0h
  [16500/109679] 5.2/s ETA 5.0h
  [16800/109679] 5.2/s ETA 4.9h
  [17100/109679] 5.1/s ETA 5.0h
  [17400/109679] 5.1/s ETA 5.0h
  [17700/109679] 5.1/s ETA 5.0h
  [18000/109679] 5.1/s ETA 5.0h
  [18300/109679] 5.1/s ETA 5.0h
  [18600/109679] 5.1/s ETA 4.9h
  [18900/109679] 5.1/s ETA 4.9h
  [19200/109679] 5.1/s ETA 4.9h
  [19500/109679] 5.2/s ETA 4.9h
  [19800/109679] 5.2/s ETA 4.8h
