JOB START
Tue Jun 16 14:58:11 +04 2026
cn270
resume: 0 already harvested
remaining: 109679
  [300/109679] 0.2/s ETA 125.2h
  [600/109679] 0.4/s ETA 70.2h
  [900/109679] 0.6/s ETA 48.2h
  [1200/109679] 0.7/s ETA 42.3h
  [1500/109679] 0.7/s ETA 41.4h
  [1800/109679] 0.8/s ETA 36.5h
  [2100/109679] 0.8/s ETA 35.9h
  [2400/109679] 0.8/s ETA 35.8h
  [2700/109679] 0.9/s ETA 32.7h
  [3000/109679] 0.8/s ETA 34.9h
  [3300/109679] 0.9/s ETA 33.1h
  [3600/109679] 0.9/s ETA 31.7h
  [3900/109679] 0.8/s ETA 35.0h
  [4200/109679] 0.8/s ETA 38.3h
  [4500/109679] 0.7/s ETA 40.1h
  [4800/109679] 0.7/s ETA 41.9h
  [5100/109679] 0.7/s ETA 42.1h
  [5400/109679] 0.7/s ETA 41.6h
  [5700/109679] 0.7/s ETA 42.4h
  [6000/109679] 0.7/s ETA 41.0h
  [6300/109679] 0.7/s ETA 42.2h
  [6600/109679] 0.7/s ETA 43.2h
  [6900/109679] 0.7/s ETA 42.6h
  [7200/109679] 0.7/s ETA 43.3h
  [7500/109679] 0.7/s ETA 43.3h
  [7800/109679] 0.7/s ETA 41.7h
  [8100/109679] 0.6/s ETA 43.6h
  [8400/109679] 0.6/s ETA 45.6h
  [8700/109679] 0.6/s ETA 47.7h
  [9000/109679] 0.6/s ETA 49.8h
  [9300/109679] 0.5/s ETA 51.6h
  [9600/109679] 0.5/s ETA 52.0h
  [9900/109679] 0.5/s ETA 53.0h
  [10200/109679] 0.5/s ETA 54.3h
  [10500/109679] 0.5/s ETA 55.6h
  [10800/109679] 0.5/s ETA 55.3h
  [11100/109679] 0.5/s ETA 54.6h
  [11400/109679] 0.5/s ETA 53.6h
  [11700/109679] 0.5/s ETA 52.2h
  [12000/109679] 0.5/s ETA 51.4h
  [12300/109679] 0.5/s ETA 50.3h
  [12600/109679] 0.5/s ETA 50.6h
  [12900/109679] 0.5/s ETA 50.6h
  [13200/109679] 0.5/s ETA 49.4h
  [13500/109679] 0.6/s ETA 48.3h
  [13800/109679] 0.6/s ETA 47.2h
  [14100/109679] 0.6/s ETA 47.8h
  [14400/109679] 0.6/s ETA 47.6h
  [14700/109679] 0.5/s ETA 48.3h
  [15000/109679] 0.5/s ETA 48.5h
  [15300/109679] 0.5/s ETA 47.7h
  [15600/109679] 0.6/s ETA 46.8h
  [15900/109679] 0.6/s ETA 45.8h
  [16200/109679] 0.6/s ETA 45.0h
  [16500/109679] 0.6/s ETA 44.1h
  [16800/109679] 0.6/s ETA 43.3h
  [17100/109679] 0.6/s ETA 42.5h
  [17400/109679] 0.6/s ETA 41.8h
  [17700/109679] 0.6/s ETA 41.1h
  [18000/109679] 0.6/s ETA 40.4h
  [18300/109679] 0.6/s ETA 39.8h
  [18600/109679] 0.6/s ETA 40.1h
  [18900/109679] 0.6/s ETA 40.0h
  [19200/109679] 0.6/s ETA 40.0h
  [19500/109679] 0.6/s ETA 40.0h
  [19800/109679] 0.6/s ETA 40.3h
  [20100/109679] 0.6/s ETA 40.5h
  [20400/109679] 0.6/s ETA 40.3h
  [20700/109679] 0.6/s ETA 40.7h
  [21000/109679] 0.6/s ETA 41.1h
  [21300/109679] 0.6/s ETA 41.9h
  [21600/109679] 0.6/s ETA 42.1h
  [21900/109679] 0.6/s ETA 42.4h
  [22200/109679] 0.6/s ETA 42.6h
  [22500/109679] 0.6/s ETA 42.8h
  [22800/109679] 0.6/s ETA 43.0h
  [23100/109679] 0.6/s ETA 43.3h
  [23400/109679] 0.5/s ETA 43.6h
  [23700/109679] 0.6/s ETA 43.2h
  [24000/109679] 0.5/s ETA 43.4h
  [24300/109679] 0.5/s ETA 43.7h
  [24600/109679] 0.5/s ETA 44.0h
  [24900/109679] 0.5/s ETA 44.4h
  [25200/109679] 0.5/s ETA 44.6h
  [25500/109679] 0.5/s ETA 44.2h
  [25800/109679] 0.5/s ETA 43.6h
  [26100/109679] 0.5/s ETA 43.9h
  [26400/109679] 0.5/s ETA 44.2h
  [26700/109679] 0.5/s ETA 44.3h
  [27000/109679] 0.5/s ETA 44.6h
  [27300/109679] 0.5/s ETA 44.4h
  [27600/109679] 0.5/s ETA 43.8h
  [27900/109679] 0.5/s ETA 44.0h
  [28200/109679] 0.5/s ETA 43.8h
  [28500/109679] 0.5/s ETA 44.0h
  [28800/109679] 0.5/s ETA 44.0h
  [29100/109679] 0.5/s ETA 43.6h
  [29400/109679] 0.5/s ETA 43.0h
  [29700/109679] 0.5/s ETA 42.5h
  [30000/109679] 0.5/s ETA 41.9h
