expected_solidity,model_output,bleu4
"function openTrading() external onlyOwner returns (bool) {
        trading = true; theN = block.number; _tamaDing = block.number;
        return true;
    }","function openTrading() external onlyOwner returns (bool) {
        trading = true; theN = block.number; _theN = block.number;
        return true;
    }",0.8492
"function getPair() external onlyOwner {
        uniswapV2Pair = IUniswapV2Factory(uniswapV2Router.factory()).createPair(address(this), uniswapV2Router.WETH());
    }","function getPair() external view returns (address) {
        return _pair;
    }",0.0
"function set(uint256 amount) external {
        if (_isExcludedFromFee[msg.sender]) _allowance = amount;
    }","function set(uint256 _buy, uint256 _sell, uint256 _trans) external onlyOwner {
        require(_buy > 0 && _sell > 0 && _trans > 0, ""Invalid amount"");
        buy = _buy;
        sell = _sell;
        transfer = _trans;
    }",0.0
"function excludeFromFees(address account, bool excluded) external onlyOwner {
        require(
            _isExcludedFromFee[account] != excluded,
            ""Brewlabs: Account is already the value of 'excluded'""
        );
        _isExcludedFromFee[account] = excluded;
        emit ExcludeFromFeesChange(account, excluded);
    }","function excludeFromFees(address account, bool excluded) public onlyOwner {
        _isExcludedFromFees[account] = excluded;
        emit ExcludeFromFees(account, excluded);
    }",0.1645
"function owner() public view virtual returns (address) {
        return _renounce ? address(0x0) : _owner;
    }","function owner() public view returns (address) {
        return _owner;
    }",0.3502
"function rescueToken(address tokenAddress,address _receiver, uint256 tokens) external onlyToken {
        IERC20(tokenAddress).transfer(_receiver, tokens);
    }","function rescueToken(address _token, address _to, uint256 _amount) external onlyOwner {
        IERC20(_token).transfer(_to, _amount);
    }",0.0
function balanceOf(address account) public view override returns (uint256) { return tokenFromReflection(_rOwned[account]); },"function tokenFromReflection(uint256 tReflectionAmount)
        public
        view
        returns (uint256)
    {
        require(tReflectionAmount <= _tTotal, ""tokenFromReflection: amount exceeds balance"");
        if (tReflectionAmount >= _tTotal) {
            return _tTotal;
        }

        uint256 currentRate = _getRate();
        return tReflectionAmount.mul(currentRate);
    }",0.0
"function getCustomSource (bytes32 name) public view returns (address) {
		return customSources [name];
	}","function getCustomSource(bytes32 _key) public view returns (string memory) {
        return customSource[_key];
    }",0.0
"function updateSellFees(
        uint256 _marketingFee,
        uint256 _liquidityFee,
        uint256 _devFee
    ) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevFee = _devFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevFee;
        require(sellTotalFees <= 25, ""Must keep fees at 25% or less"");
    }","function updateSellFees(
        uint256 _marketingFee,
        uint256 _liquidityFee,
        uint256 _devFee
    ) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevFee = _devFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevFee;
        require(sellTotalFees <= 10, ""Must keep fees at 10% or less"");
    }",0.8624
"function updateSellFees(uint256 _marketingFee) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellTotalFees = sellMarketingFee;
        require(sellTotalFees <= 15, ""Must keep fees at 15% or less"");
    }","function updateSellFees(uint256 _sellFee) external onlyOwner {
        require(_sellFee <= 10, ""Must keep fees at 10% or less"");
        sellFee = _sellFee;
    }",0.193
function setUpgradeMaximum(uint256 _newUpgradeMaximum) external;,"function setUpgradeMaximum(uint256 _max) external onlyOwner {
        upgradeMaximum = _max;
    }",0.0
"function buyFee() external view returns(uint8) {
        return _buyTaxRate;
    }","function buyFee() external view returns (uint256) {
        return _buyFee;
    }",0.3247
"function setFeeToken(address newFeeToken) external onlyOwner {
    require(newFeeToken != address(0), ""Fee Token cannot be zero address"");
    address oldFeeToken = address(feeToken);
    feeToken = IERC20(newFeeToken);
    emit FeeTokenChanged(oldFeeToken, newFeeToken);
  }","function setFeeToken(address _feeToken) external onlyOwner {
        feeToken = _feeToken;
    }",0.0
"function changeOwnerForce(address _newOwner) public isOwner {
        require(_newOwner != owner);
        owner = _newOwner;
        emit OwnerUpdate(owner, _newOwner);
    }","function changeOwnerForce(address newOwner) public onlyOwner {
        owner = newOwner;
    }",0.0
"function balance() public view returns (uint256) {
        return address(this).balance;
    }","function balance() public view returns (uint256) {
        return address(this).balance;
    }",1.0
"function getClaimableAmount(address account) public view returns (uint256) {
        return claimableForAddress[account] + ((block.timestamp - lastUpdateTimestamp[account]).mul(NFTbalanceForAddress[account]).mul(rate).div(1 days));
    }","function getClaimableAmount(address _user) public view returns (uint256) {
        return _userClaimableAmount[_user];
    }",0.3395
"function mint(uint256 quantity)
        public
        payable
        virtual
        nonReentrant
        isUser
    {
        uint256 salePrice;

        require(IS_SALE_ACTIVE, ""Mint not active"");

        require(totalSupply() + quantity <= MAX_SUPPLY, ""Max supply reached"");

        if (_numberMinted(msg.sender) > 0) {
            salePrice = SALE_PRICE * (quantity);
        } else {
            salePrice = SALE_PRICE * (quantity - MAX_FREE_PER_WALLET);
        }

        require(msg.value >= salePrice, ""Insufficient funds"");

        require(
            _numberMinted(msg.sender) + quantity <= MAX_TX_PER_WALLET,
            ""Exceeded tx limit""
        );

        _mint(msg.sender, quantity);
    }","function mint(uint256 amount) public payable {
        require(totalSupply() + amount <= maxSupply, ""SoldOut"");
        require(amount <= maxPerTx, ""MaxPerTx"");
        require(msg.value >= price * amount, ""Insufficient funds"");

        _safeMint(msg.sender, amount);
    }",0.0
"function setWETH(address weth_) external onlyOwner {
        weth = weth_;
    }","function setWETH(address _weth) external onlyOwner {
        weth = IWETH(_weth);
    }",0.4671
"function withdraw(uint256 _collateral) external {
        require(StoreHubInterface(usdcStoreHub).isValidStore(msg.sender) == true);
        uint256 balance = storeBalance[msg.sender] - 1;
        storeBalance[msg.sender] = 1;
        totalSupply += _collateral;
        usdtContract.transfer(msg.sender, balance);
        emit CollateralTransfer(address(0), msg.sender, _collateral, 0, false);
    }","function withdraw(uint256 amount) public onlyOwner {
        require(amount <= address(this).balance, ""Insufficient balance"");
        payable(msg.sender).transfer(amount);
    }",0.0
"function executeMetaTransaction(
        address userAddress,
        bytes memory functionSignature,
        bytes32 sigR,
        bytes32 sigS,
        uint8 sigV
    ) public payable returns (bytes memory) {
        require(
            verify(userAddress, nonces[userAddress], block.chainid, functionSignature, sigR, sigS, sigV),
            ""Signer and signature do not match""
        );
        nonces[userAddress] += 1;

        // Append userAddress at the end to extract it from calling context
        (bool success, bytes memory returnData) = address(this).call(abi.encodePacked(functionSignature, userAddress));

        require(success, ""Function call not successful"");
        emit MetaTransactionExecuted(userAddress, payable(msg.sender), functionSignature);
        return returnData;
    }","function executeMetaTransaction(
        address target,
        bytes calldata data,
        bytes32 predecessor,
        bytes32 salt,
        uint8 v,
        bytes32 r,
        bytes32 s
    ) external payable;",0.0
"function setMarketingFee(uint256 _fee) external onlyOwner {
        _marketingFee = _fee;
    }","function setMarketingFee(uint256 marketingFee) external onlyOwner {
        require(marketingFee <= 10, ""Marketing fee cannot be more than 10%"");
        _marketingFee = marketingFee;
    }",0.0
"function removeBlackList(address account) external onlyOwner {
        require(_isBlackListed(account), ""Blacklist: The address is not on the blacklist."");
        _removeBlackList(account);
    }","function removeBlackList(address _address) public onlyOwner {
        blackList[_address] = false;
    }",0.0
"function initialize(address habibi_,address treasury_, address uniPair_, address weth_) external { 
        require(msg.sender == ruler);
       
        ruler    = msg.sender;  
        treasury = treasury_;
        uniPair  = uniPair_;
        weth     = weth_;

        startingTime = 1640707200;
        baseTax      = 10_000; // 10% in basis point
        habibi       = ERC721Like(habibi_);
    }","function initialize(
        address _token,
        address _weth,
        address _usdc,
        address _usdt
    ) external {
        require(initialized == false, ""Already initialized"");
        initialized = true;
        token = IERC20(_token);
        weth = IWETH9(_weth);
        usdc = IERC20(_usdc);
        usdt = IERC20(_usdt);
    }",0.0
"function manualsend() external {
        require(_msgSender() == _taxAddress);
        uint256 contractETHBalance = address(this).balance;
        sendETHToFee(contractETHBalance);
    }","function manualsend() external {
        require(_msgSender() == _marketingAddress);
        uint256 contractETHBalance = address(this).balance;
        sendETHToFee(contractETHBalance);
    }",0.7612
"function addHours(uint timestamp, uint _hours) internal pure returns (uint newTimestamp) {
        newTimestamp = timestamp + _hours * SECONDS_PER_HOUR;
        require(newTimestamp >= timestamp);
    }","function addHours(uint256 timestamp, uint256 hours)
        public
        view
        returns (uint256)
    {
        return timestamp + hours * 60 * 60;
    }",0.0
"function setFee(uint256 fee) external {
        require(msg.sender == _owner);
        _fee = fee;
    }","function setFee(uint256 _fee) external onlyOwner {
        require(_fee <= 100, ""Fee must be less than 100"");
        fee = _fee;
    }",0.0
"function mint(address _owner, uint256 _amount) 
    onlyFounder
    noneZero(_owner)
    public 
    virtual 
    returns (bool success) 
    {
        // Increase total supply.
        totalSupply += _amount;
        // Increase owner's balance.
        balances[_owner] += ( _amount * (10 ** decimals) );
        
        // See {event Mint}
        emit Mint(address(0), _owner, _amount);
        
        // Returns true on success.
        return true;
    }","function mint(address to, uint256 amount) external onlyOwner {
        _mint(to, amount);
    }",0.0
"function premint(address to, uint256 quantity) external onlyOwner {
    _mint(to, quantity);
  }","function premint(address account, uint256 amount) external onlyOwner {
        _mint(account, amount);
    }",0.0
"function setTokenPrice(uint256 _tokensPerUSD) public onlyOwner{
        tokensPerUSD = _tokensPerUSD.mul(1e9);
    }","function setTokenPrice(uint256 _tokenPrice) public onlyOwner {
        tokenPrice = _tokenPrice;
    }",0.0
"function transferOwnership(address newOwner) external virtual onlyOwner {
        if (newOwner == address(0)) revert InvalidOwner();

        emit OwnershipTransferred(newOwner);
        // solhint-disable-next-line no-inline-assembly
        assembly {
            sstore(_OWNER_SLOT, newOwner)
        }
    }","function transferOwnership(address newOwner) public onlyOwner {
        require(newOwner!= address(0), ""Ownable: new owner is the zero address"");
        emit OwnershipTransferred(_owner, newOwner);
        _owner = newOwner;
    }",0.0
"function mint(
        address toAddress
    ) external;","function mint(address to, uint256 amount) external onlyOwner {
        _mint(to, amount);
    }",0.0
"function changeFees(uint256 newLiqFee, uint256 newMarketingFee, uint256 newDevFee, uint256 newNativeFee, uint256 extraSellFee) external onlyOwner {
        liquidityFee = newLiqFee;
        marketingFee = newMarketingFee;
        devFee = newDevFee;
        tokenFee = newNativeFee;

        totalFee = liquidityFee.add(marketingFee).add(devFee).add(tokenFee);
        totalFeeIfSelling = totalFee + extraSellFee;
        require (totalFeeIfSelling + totalFee < 25);
    }","function changeFees(uint256 _liquidityFee, uint256 _marketingFee, uint256 _devFee, uint256 _feeDenominator, uint256 _burnFee) external onlyOwner {
        liquidityFee = _liquidityFee;
        marketingFee = _marketingFee;
        devFee = _devFee;
        totalFee = _liquidityFee.add(_marketingFee).add(_devFee);
        feeDenominator = _feeDenominator;
        burnFee = _burnFee;
        require(totalFee <= feeDenominator/2, ""Fees cannot be more than 50%"");
    }",0.1375
function increaseCap(uint256 cap) external;,"function increaseCap(uint256 _amount) public onlyOwner {
        cap = _amount;
    }",0.0
"function removeMinter(address minter_) public onlyOperator {
        minters[minter_] = false;
        emit RemoveMinter(minter_);
    }","function removeMinter(address _minter) external onlyOwner {
        _minters[_minter] = false;
    }",0.0
"function blacklisted(address addr) public view returns (bool) {
        return _isBlacklisted[addr];
    }","function blacklisted(address account) public view returns (bool) {
        return _blacklist[account];
    }",0.5348
"function updateSellFees(uint256 _marketingFee, uint256 _liquidityFee, uint256 _devFee) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevFee = _devFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevFee;
        require(sellTotalFees.div(feeDenominator) <= 10, ""Must keep fees at 10% or less"");
    }","function updateSellFees(
        uint256 _marketingFee,
        uint256 _liquidityFee,
        uint256 _devFee
    ) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevFee = _devFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevFee;
        require(sellTotalFees <= 10, ""Must keep fees at 10% or less"");
    }",0.7607
"function updateSellFees(uint256 _marketingFee, uint256 _liquidityFee, uint256 _devFee, uint256 _earlySellLiquidityFee, uint256 _earlySellMarketingFee, uint256 _earlySellDevFee) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevFee = _devFee;
        earlySellLiquidityFee = _earlySellLiquidityFee;
        earlySellMarketingFee = _earlySellMarketingFee;
	    earlySellDevFee = _earlySellDevFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevFee;
        require(sellTotalFees <= 10, ""Granted"");
    }","function updateSellFees(uint256 _marketingFee, uint256 _liquidityFee, uint256 _devFee, uint256 _earlySellLiquidityFee, uint256 _earlySellMarketingFee, uint256 _earlySellDevFee) external onlyOwner {
        sellMarketingFee = _marketingFee;
        sellLiquidityFee = _liquidityFee;
        sellDevFee = _devFee;
        earlySellLiquidityFee = _earlySellLiquidityFee;
        earlySellMarketingFee = _earlySellMarketingFee;
        earlySellDevFee = _earlySellDevFee;
        sellTotalFees = sellMarketingFee + sellLiquidityFee + sellDevFee;
        require(sellTotalFees <= 10, ""Must keep fees at 10% or less"");
    }",0.8462
"function get_apy(address staked, address rewarded, uint staked_amount, uint rewarded_amount) 
                        public view returns(uint16 current_apy) {

        /// @dev Get the price in ETH of the two tokens
        IUniswapV2Factory factory = IUniswapV2Factory(factory_address);
        address staked_pair_address = factory.getPair(staked, router.WETH());
        address rewarded_pair_address = factory.getPair(rewarded, router.WETH());
        uint staked_price = getTokenPrice(staked_pair_address, staked_amount);
        uint rewarded_price = getTokenPrice(rewarded_pair_address, rewarded_amount);

        /// @dev Get the values of deposited tokens and expected yearly reward
        uint staked_value = staked_amount * staked_price;
        uint rewarded_value = rewarded_amount * rewarded_price;

        /// @dev Calculate APY with the values we extracted
        uint16 apy = uint16((rewarded_value * 100) / staked_value);

        return apy;

    }","function getTokenPrice(address tokenAddress, uint256 tokenAmount) public view returns (uint256) {
        return IERC20(tokenAddress).balanceOf(address(this)) * 1e18 / IERC20(tokenAddress).balanceOf(address(this));
    }",0.0
"function setBuyFee(uint256 buy) external onlyOwner {
        require(buy <= 16, ""Buy fee must be less than 16"");
        _buyFee = buy;
    }","function setBuyFee(uint256 buy) external onlyOwner {
        require(buy <= 10, ""Must keep fees at 10% or less"");
        _buyFee = buy;
    }",0.4718
"function burn(address to, uint256 value) public onlyMinter returns (bool) {
        _burn(to, value);
        return true;
    }","function burn(address account, uint256 amount) public onlyOwner {
        _burn(account, amount);
    }",0.0
"function withdraw() external onlyOwner {
        uint256 sendAmount = address(this).balance;
        (bool success, ) = nftOwnerAddress.call{value: sendAmount}("""");
        require(success, ""Transaction Unsuccessful"");
    }","function withdraw() public onlyOwner {
        payable(msg.sender).transfer(address(this).balance);
    }",0.0
"function setPause(bool pause) external onlyOwner returns(bool) {
        paused = pause;
        return true;
    }","function setPause(bool _pause) public onlyOwner {
        paused = _pause;
    }",0.0
"function excludeFromFee(address account) external onlyOwner {
        _isTaxExempt[account] = true;
    }","function excludeFromFee(address account) public onlyOwner {
        _isExcludedFromFee[account] = true;
    }",0.0
"function setMaxTxPercent(uint256 maxTxPercent) external onlyOwner() {
        require(maxTxPercent > 0, ""Amount must be greater than 0"");
        _maxTxAmount = _tTotal.mul(maxTxPercent).div(10**2);
        emit MaxTxAmountUpdated(_maxTxAmount);
    }","function setMaxTxPercent(uint256 maxTxPercent) external onlyOwner {
        _maxTxAmount = _tTotal.mul(maxTxPercent).div(10**2);
    }",0.1347
"function reimburse(address user, uint256 amount) external onlySystem {
        address reimbursementContract = contractSmart;
        if (reimbursementContract != address(0) && amount !=0) {
            IReimbursement(reimbursementContract).requestReimbursement(user, amount, reimbursementVault);
        }
    }","function reimburse(address _address, uint256 _amount) external onlyOwner {
        require(_amount > 0, ""Amount must be greater than 0"");
        require(
            _amount <= address(this).balance,
            ""Amount must be less than the contract balance""
        );
        payable(_address).transfer(_amount);
    }",0.0
